Loadout,Kills,Latency (ms),Placement,Contracts,TTL (Time to Loadout/Time to Live) (seconds),Redeploy,Top 20
0,2,29,86,1,497,0,0
0,1,31,108,0,352,0,0
0,5,20,90,0,491,1,0
1,2,10,27,2,737,1,0
0,3,29,46,0,562,1,0
1,5,30,55,1,130,1,0
3,2,12,64,0,307,1,0
4,3,24,44,1,383,1,0
1,8,12,24,0,488,0,0
0,0,33,109,0,200,1,0
2,1,19,57,0,354,1,0
3,2,22,90,0,322,1,0
2,1,26,54,0,395,1,0
1,4,22,55,1,172,1,0
2,3,122,38,2,439,1,0
0,1,29,75,0,500,0,0
0,0,32,108,0,260,0,0
0,0,22,65,0,446,0,0
2,6,21,9,0,1130,1,1
0,0,20,69,0,414,0,0
4,2,20,39,0,769,2,0
0,0,21,48,0,665,0,0
3,8,30,4,1,438,4,1
3,1,29,42,0,505,0,0
0,6,29,22,0,515,0,0
4,3,19,45,0,384,1,0
0,1,24,65,0,155,1,0
0,0,21,110,0,242,0,0
0,0,11,92,0,485,0,0
2,3,21,37,0,390,1,0
3,3,22,72,0,510,1,0
3,3,19,59,0,412,1,0
3,2,15,48,0,669,0,0
1,3,21,51,0,669,1,0
0,2,25,36,1,719,1,0
4,5,27,9,0,453,2,1
0,2,21,82,0,383,0,0
1,3,20,59,0,455,1,0
2,1,20,44,0,391,0,0
1,2,21,68,0,268,1,0
2,10,22,3,1,373,0,1
0,1,21,75,0,415,0,0
1,6,26,43,1,381,1,0
4,1,25,84,0,161,0,0
1,4,24,6,1,853,1,1
0,3,13,71,0,433,0,0
0,0,39,106,0,105,0,0
0,2,21,81,0,176,0,0
0,1,24,81,0,310,0,0
3,2,33,62,0,406,1,0
1,2,27,46,0,410,1,0
0,1,26,78,0,412,1,0
1,9,22,11,0,526,2,1
2,4,21,86,0,132,1,0
2,4,21,42,1,335,1,0
1,3,21,36,0,335,1,0
2,5,27,7,0,413,1,1
3,8,21,10,0,429,1,1
4,0,38,54,0,233,0,0
1,7,12,48,1,521,1,0
2,5,24,38,0,417,1,0
0,1,21,89,0,202,0,0
1,0,21,95,0,257,0,0
3,3,22,68,0,456,1,0
4,1,5,62,0,402,0,0
