Loadout,Latency (ms),Placement,Contracts,TTL (Time to Loadout/Time to Live) (seconds),Redeploy,Top 20
3,19,59,0,412,1,0
0,29,22,0,515,0,0
2,19,57,0,354,1,0
3,21,10,0,429,1,1
0,20,69,0,414,0,0
1,21,51,0,669,1,0
0,21,89,0,202,0,0
0,22,65,0,446,0,0
2,27,7,0,413,1,1
2,21,42,1,335,1,0
3,33,62,0,406,1,0
0,25,36,1,719,1,0
0,21,75,0,415,0,0
1,22,11,0,526,2,1
2,24,38,0,417,1,0
1,22,55,1,172,1,0
3,30,4,1,438,4,1
3,15,48,0,669,0,0
3,22,72,0,510,1,0
2,20,44,0,391,0,0
3,29,42,0,505,0,0
0,29,46,0,562,1,0
2,122,38,2,439,1,0
2,21,37,0,390,1,0
0,11,92,0,485,0,0
1,26,43,1,381,1,0
1,12,48,1,521,1,0
0,24,81,0,310,0,0
2,21,9,0,1130,1,1
4,5,62,0,402,0,0
4,20,39,0,769,2,0
4,19,45,0,384,1,0
3,12,64,0,307,1,0
0,13,71,0,433,0,0
4,24,44,1,383,1,0
1,21,95,0,257,0,0
0,31,108,0,352,0,0
0,32,108,0,260,0,0
0,29,86,1,497,0,0
0,29,75,0,500,0,0
1,30,55,1,130,1,0
3,22,90,0,322,1,0
0,33,109,0,200,1,0
1,12,24,0,488,0,0
2,26,54,0,395,1,0
4,25,84,0,161,0,0
1,20,59,0,455,1,0
